
 START: 1/5 

Iteration 6 completed | Delta llk: 4.126746 | Time: 0.82 sec
Iteration 7 completed | Delta llk: 3.770266 | Time: 0.69 sec
Iteration 8 completed | Delta llk: 3.317401 | Time: 0.74 sec
Iteration 9 completed | Delta llk: 3.042944 | Time: 0.74 sec
Iteration 10 completed | Delta llk: 2.684765 | Time: 0.69 sec
Iteration 11 completed | Delta llk: 2.403128 | Time: 0.67 sec
Iteration 12 completed | Delta llk: 2.163984 | Time: 0.77 sec
Iteration 13 completed | Delta llk: 1.950664 | Time: 0.84 sec
Iteration 14 completed | Delta llk: 1.763304 | Time: 0.70 sec
Iteration 15 completed | Delta llk: 1.597176 | Time: 0.79 sec
Iteration 16 completed | Delta llk: 1.446806 | Time: 0.70 sec
Iteration 17 completed | Delta llk: 1.318171 | Time: 0.73 sec
Iteration 18 completed | Delta llk: 1.203672 | Time: 0.77 sec
Iteration 19 completed | Delta llk: 1.094218 | Time: 0.73 sec
Iteration 20 completed | Delta llk: 0.998691 | Time: 0.68 sec
Iteration 21 completed | Delta llk: 0.914867 | Time: 0.68 sec
Iteration 22 completed | Delta llk: 0.838972 | Time: 0.69 sec
Iteration 23 completed | Delta llk: 0.769481 | Time: 0.67 sec
Iteration 24 completed | Delta llk: 0.708449 | Time: 0.73 sec
Iteration 25 completed | Delta llk: 0.651945 | Time: 0.67 sec
Iteration 26 completed | Delta llk: 0.601465 | Time: 0.70 sec
Iteration 27 completed | Delta llk: 0.556606 | Time: 0.67 sec
Iteration 28 completed | Delta llk: 0.515155 | Time: 0.67 sec
Iteration 29 completed | Delta llk: 0.477422 | Time: 0.69 sec
Iteration 30 completed | Delta llk: 0.443680 | Time: 0.67 sec
Iteration 31 completed | Delta llk: -3.947623 | Time: 0.40 sec
Iteration 32 completed | Delta llk: 3.641754 | Time: 0.66 sec
Iteration 33 completed | Delta llk: 1.001681 | Time: 0.43 sec
Iteration 34 completed | Delta llk: 0.519263 | Time: 0.38 sec
Iteration 35 completed | Delta llk: 0.383794 | Time: 0.52 sec
